"MinDate","Units","observationPeriods","NumPlaces","StatVar","MeasurementMethods","ScalingFactors"
"2014","[Percent]","[]","28","Percent_Overweight_In_Count_Person_Male_ForeignBornWithinEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_Underweight_In_Count_Person_TertiaryEducation_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","31","Percent_Underweight_In_Count_Person_Citizen_Male","[EurostatRegionalStatistics]","[100]"
"2019","[Percent]","[]","22","Percent_Overweight_In_Count_Person_Male_ForeignBornWithinEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","32","Percent_PreObese_In_Count_Person_TertiaryEducation_Male","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","28","Percent_Overweight_In_Count_Person_Female_ForeignBornWithinEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Obesity_In_Count_Person_SemiUrban","[EurostatRegionalStatistics]","[100]"
"2019","[Percent]","[]","25","Percent_Overweight_In_Count_Person_Female_ForeignBornWithinEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2008","[Percent]","[]","32","Percent_Underweight_In_Count_Person_Female_IncomeOf0To20Percentile","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","31","Percent_Underweight_In_Count_Person_Urban_Female","[EurostatRegionalStatistics]","[100]"
"2014","[Percent]","[]","27","Percent_Normalweight_In_Count_Person_Female_ForeignBornOutsideEU28","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2019","[Percent]","[]","24","Percent_Normalweight_In_Count_Person_Female_ForeignBornOutsideEU27","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
"2014","[Percent]","[]","28","Percent_Overweight_In_Count_Person_NotACitizen_Female","[EurostatRegionalStatistics, EurostatRegionalStatistics_LowReliability]","[100]"
