"NumPlaces","MeasurementMethods","StatVar","observationPeriods","Units","MinDate","ScalingFactors"
"40593","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleTrips_Household_With1Person_With4AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40604","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_PersonTrips_Household_With4Person_With0AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"41162","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_PersonTrips_Household_LocalAreaTransportation","[]","[]","2009","[]"
"29371","[NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_PersonTrips_Household_With5Person_With2AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40621","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_PersonTrips_Household_With2Person_With0AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40589","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleTrips_Household_With3Person_With4AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40585","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_PersonMilesTraveled_Household_With2Person_With3AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40590","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleTrips_Household_With2Person_With2AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40593","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With2Person_With4AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40594","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleTrips_Household_With4Person_With2AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40693","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleTrips_Household_With1Person_With0AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"29364","[NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleTrips_Household_With5Person_With4AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40633","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleTrips_Household_With3Person_With0AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40608","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_PersonTrips_Household_With2Person_With4AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"29373","[NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With5Person_With3AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40595","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With3Person_With2AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"29373","[NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleTrips_Household_With5Person_With1AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40593","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With3Person_With3AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40585","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_PersonMilesTraveled_Household_With4Person_With0AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40593","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With1Person_With3AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"40595","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleMilesTraveled_Household_With1Person_With2AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"29383","[NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleTrips_Household_With5Person_With0AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
"41153","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_VehicleMilesTraveled_Household_LocalAreaTransportation","[]","[]","2009","[]"
"40585","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","EveryWeekday_Mean_PersonMilesTraveled_Household_With4Person_With4AvailableVehicles_LocalAreaTransportation","[]","[]","2009","[]"
