"StatVar","MinDate","MeasurementMethods","Units","NumPlaces","ScalingFactors","observationPeriods"
"EveryWeekday_Mean_VehicleTrips_Household_With1Person_With4AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12176","[]","[]"
"EveryWeekday_Mean_PersonTrips_Household_With4Person_With0AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12172","[]","[]"
"EveryWeekday_Mean_PersonMilesTraveled_Household_With1Person_With3AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12160","[]","[]"
"EveryWeekday_Mean_PersonTrips_Household_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12172","[]","[]"
"EveryWeekday_Mean_PersonTrips_Household_With2Person_With0AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12172","[]","[]"
"EveryWeekday_Mean_PersonMilesTraveled_Household_With2Person_With3AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12160","[]","[]"
"EveryWeekday_Mean_VehicleTrips_Household_With3Person_With4AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12176","[]","[]"
"EveryWeekday_Mean_VehicleTrips_Household_With2Person_With4AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12176","[]","[]"
"EveryWeekday_Mean_PersonTrips_Household_With4Person_With2AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12172","[]","[]"
"EveryWeekday_Mean_VehicleTrips_Household_With1Person_With2AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12176","[]","[]"
"EveryWeekday_Mean_PersonTrips_Household_With3Person_With0AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12172","[]","[]"
"EveryWeekday_Mean_VehicleTrips_Household_With2Person_With2AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12176","[]","[]"
"EveryWeekday_Mean_VehicleMilesTraveled_Household_With2Person_With4AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12173","[]","[]"
"EveryWeekday_Mean_VehicleTrips_Household_With4Person_With4AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12176","[]","[]"
"EveryWeekday_Mean_VehicleMilesTraveled_Household_With1Person_With4AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12173","[]","[]"
"EveryWeekday_Mean_PersonMilesTraveled_Household_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12160","[]","[]"
"EveryWeekday_Mean_VehicleTrips_Household_With4Person_With2AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12176","[]","[]"
"EveryWeekday_Mean_VehicleTrips_Household_With1Person_With0AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12176","[]","[]"
"EveryWeekday_Mean_VehicleTrips_Household_With3Person_With2AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12176","[]","[]"
"EveryWeekday_Mean_VehicleTrips_Household_With2Person_With0AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12176","[]","[]"
"EveryWeekday_Mean_VehicleTrips_Household_With3Person_With0AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12176","[]","[]"
"EveryWeekday_Mean_VehicleMilesTraveled_Household_With1Person_With1AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12173","[]","[]"
"EveryWeekday_Mean_PersonTrips_Household_With2Person_With4AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12172","[]","[]"
"EveryWeekday_Mean_VehicleMilesTraveled_Household_With3Person_With2AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12173","[]","[]"
"EveryWeekday_Mean_VehicleMilesTraveled_Household_With1Person_With0AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12173","[]","[]"
"EveryWeekday_Mean_VehicleMilesTraveled_Household_With3Person_With3AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12173","[]","[]"
"EveryWeekday_Mean_PersonMilesTraveled_Household_With4Person_With1AvailableVehicles_LocalAreaTransportation","2017","[NationalHouseholdTransportationSurveyEstimates_MarginOfErrorMoreThanACSSurvey, NationalHouseholdTransportationSurveyEstimates]","[]","12161","[]","[]"
