"MinDate","StatVar","NumPlaces","Units","MeasurementMethods","ScalingFactors","observationPeriods"
"1962","worldBank/BX_GSR_ROYL_CD","171","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/NY_ADJ_DMIN_GN_ZS","213","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_EA_2T6_AG25T99_M","159","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/NE_CON_PRVT_PC_KD","183","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_TER_ICMP_75UP_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/GC_XPN_TRFT_CN","155","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/BI_EMP_TOTL_PB_RU_ZS","129","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/NE_DAB_DEFL_ZS","173","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1998","worldBank/UIS_SLE_4","149","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_EA_2T6_AG25T99_F","159","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_SLE_1","209","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1999","worldBank/per_si_allsi_cov_q2_tot","118","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_MYS_60UP_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/SP_POP_7074_FE","221","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/NY_GDP_MKTP_CD","218","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1984","worldBank/HF_UHC_NOP1_CG","149","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_MYS_60UP_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2011","worldBank/i_deposit_acc_A1_pop","130","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/NY_GDP_MKTP_CN","214","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1984","worldBank/HF_UHC_NOP4_ZS","149","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/NY_GNP_MKTP_CD","213","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1990","worldBank/IT_NET_USER_ZS","216","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2001","worldBank/FS_AST_DOMO_GD_ZS","63","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/SL_TLF_CACT_FE_NE_ZS","214","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1961","worldBank/AG_LND_CREL_HA","186","[Hectare]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/BI_EMP_TOTL_PB_TN_ZS","114","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_R_1_G6_F","153","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2005","worldBank/SG_GEN_MNST_ZS","197","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_POP_2529_3_FE","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/NE_DAB_TOTL_CD","188","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1991","worldBank/SL_EMP_WORK_FE_ZS","191","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/BI_EMP_TOTL_PB_ZS","139","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1972","worldBank/GC_TAX_TOTL_GD_ZS","165","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1991","worldBank/NV_IND_EMPL_KD","184","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/SH_PRG_ANEM","196","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/NY_ADJ_NNTY_KD","183","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1990","worldBank/TX_MNF_TECH_ZS_UN","153","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/NE_DAB_TOTL_CN","184","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1991","worldBank/SL_UEM_TOTL_MA_ZS","191","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1969","worldBank/DT_NFL_UNTA_CD","181","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_TER_ICMP_5559_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_SEC_ICMP_5559_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1996","worldBank/CC_NO_SRC","205","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2002","worldBank/per_lm_alllm_cov_q3_tot","68","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_TER_ICMP_25UP_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/SE_ENR_SECO_FM_ZS","209","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_MYS_2529_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/BI_PWK_PRVS_TT_ZS","130","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_EA_4T6_AG25T99_F","161","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1991","worldBank/SL_EMP_1524_SP_ZS","191","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1996","worldBank/VA_EST","205","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_MYS_2529_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/BI_WAG_TOTL_PB_ZS","190","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_80UP_1_FE","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_EA_4T6_AG25T99_M","161","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1998","worldBank/SE_PRM_NINT_FE_ZS","172","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1990","worldBank/PA_NUS_PRVT_PP","209","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/SE_PRM_NENR_FE","196","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1980","worldBank/SP_URB_TOTL_FE_ZS","197","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1998","worldBank/SE_TER_CMPL_FE_ZS","154","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/UIS_XGDP_4_FSGOV","150","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1998","worldBank/UIS_SLE_4_GPI","147","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/SE_TER_CUAT_ST_ZS","184","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1976","worldBank/SL_TLF_PART_MA_ZS","174","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_POP_1519_3_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_REPR_1_G2_M","184","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/DT_NFL_DPNG_CD","100","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_TER_SCHL_7074","144","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1972","worldBank/GC_TAX_OTHR_RV_ZS","161","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/SL_UEM_1524_FE_NE_ZS","206","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/SP_POP_0004_FE","221","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/SP_POP_TOTL_FE_ZS","221","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_REPR_1_G2_F","184","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_60UP_2_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_PRM_CMPT_5054_FE_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_60UP_2_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/HD_HCI_HLOS_MA","169","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/SH_DTH_NCOM_60UP_FE_ZS","187","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/SP_DYN_CDRT_IN","221","[USDollar]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_POP_1519_3_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
