"ScalingFactors","MinDate","NumPlaces","observationPeriods","MeasurementMethods","Units","StatVar"
"[]","1970","193","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_PTRHC_56"
"[]","1970","185","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G3_F"
"[]","1998","101","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TRTP_23_GPI"
"[]","1997","227","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_3_GPV_F"
"[]","1998","170","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_UAPP_1"
"[]","1970","224","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_PR"
"[]","1998","167","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TEP_5_B_M"
"[]","1998","128","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_PPP_3_FSGOV"
"[]","1998","141","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F800_M"
"[]","1970","202","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_M"
"[]","1970","186","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G3_M"
"[]","1998","157","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F500"
"[]","1998","141","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSEP_56_F800_F"
"[]","1997","176","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TEP_8"
"[]","1998","176","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_UAEP_1"
"[]","1995","142","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_EA_5T8_AG25T99_GPI"
"[]","1998","172","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NER_0_GPI"
"[]","1970","231","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_1_G1_F"
"[]","1970","178","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G1_M"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_51_01_09_water"
"[]","1997","194","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TEP_5_B"
"[]","1970","176","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NERA_2"
"[]","1970","221","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SLE_0"
"[]","1998","157","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NERA_3"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_51_01_10_gdp"
"[]","1970","177","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_2_GPV_G1_F"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_51_01_04_immun"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/5_51_01_01_poverty"
"[]","2004","145","[P1Y]","[WorldBank_BBSC_CSV]","[]","worldBank/3_11_01_03_popreg"
"[]","1999","184","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_PR_F"
"[]","1998","167","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TEP_5_B_F"
"[]","1998","143","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_56_F800"
"[]","1997","172","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_8"
"[]","1970","217","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_SLE_0_GPI"
"[]","1980","226","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_3"
"[]","1970","173","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_NERA_2_GPI"
"[]","1998","169","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_4"
"[]","1998","133","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FOSGP_56_F700_M"
"[]","1997","190","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_5_B_F"
"[]","1980","228","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_2"
"[]","1970","207","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_AIR_2_GPV_GLAST_GPI"
"[]","1998","186","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_0"
"[]","1970","192","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TE_100000_56"
"[]","1998","105","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TRTP_0_M"
"[]","1970","205","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_GPV_G1_T"
"[]","1998","154","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_FEP_56_F140"
"[]","1970","162","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G4_F"
"[]","1971","87","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_G3_M"
"[]","1970","180","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_REPP_1_G1_M"
"[]","1998","156","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_XUNIT_US_23_FSGOV"
"[]","1998","120","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_TRTP_0_F"
"[]","1997","196","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_3_V_F"
"[]","1970","216","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_AIR_1_GPI"
"[]","1970","84","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_2_GPV_G3_F"
"[]","1970","164","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_DR_1_G4_M"
"[]","1970","205","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_2_GPV_G1_F"
"[]","1998","173","[P1Y]","[WorldBank_EdStats_CSV]","[]","worldBank/UIS_E_0_PU_T"
