"MeasurementMethods","MinDate","NumPlaces","observationPeriods","StatVar","Units","ScalingFactors"
"[]","2000","186","[P1Y]","Count_Death_IntentionalSelfHarm_Male_AsFractionOf_Count_Person_Male","[Per100000Males]","[]"
"[]","1990","203","[P1Y]","Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity","[InternationalDollar]","[]"
"[JointChildMalnutritionEstimate]","1983","165","[P1Y]","Count_Person_Upto4Years_Wasting_AsFractionOf_Count_Person_Upto4Years","[Percent]","[100]"
"[]","1994","143","[P1Y]","Count_Person_25OrMoreYears_DoctorateDegree_AsFractionOf_Count_Person_25OrMoreYears","[]","[]"
"[]","1970","204","[P1Y]","Amount_Emissions_CarbonDioxide_PerCapita","[MetricTon]","[]"
"[]","1970","183","[P1Y]","Count_Person_25OrMoreYears_Male_TertiaryEducation_AsFractionOf_Count_Person_25OrMoreYears_Male","[]","[]"
"[]","1960","218","[P1Y]","LifeExpectancy_Person_Female","[Year]","[]"
"[]","1994","138","[P1Y]","Count_Person_25OrMoreYears_Male_DoctorateDegree_AsFractionOf_Count_Person_25OrMoreYears_Male","[]","[]"
"[UnitedNationsIGMEEstimate]","1960","197","[P1Y]","Count_Death_0Years_Female_AsFractionOf_Count_BirthEvent_LiveBirth_Female","[Per1000FemaleLiveBirths]","[]"
"[]","1990","197","[P1Y]","Count_CriminalActivities_MurderAndNonNegligentManslaughter_AsFractionOf_Count_Person","[Per100000Persons]","[]"
"[]","2000","194","[P1Y]","Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person","[InternationalDollar, USDollar]","[]"
"[]","1980","201","[P1Y]","Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government","[Percent]","[100]"
"[]","1970","187","[P1Y]","Count_Person_25OrMoreYears_Male_BachelorsDegreeOrHigher_AsFractionOf_Count_Person_25OrMoreYears_Male","[]","[]"
"[]","1960","218","[]","FertilityRate_Person_Female","[]","[]"
"[WorldBankEstimate]","1960","218","[P1Y]","Count_Person_Rural","[]","[]"
"[]","1970","183","[P1Y]","Count_Person_25OrMoreYears_Female_TertiaryEducation_AsFractionOf_Count_Person_25OrMoreYears_Female","[]","[]"
"[WorldBankEstimate]","1960","218","[P1Y]","Count_Person_Urban","[]","[]"
