"Units","NumPlaces","ScalingFactors","MeasurementMethods","observationPeriods","StatVar","MinDate"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_IBGEOtherServicesSector_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_GeneralIndustry_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_Employed_AllJobs_IncomeActuallyReceived","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_AdminSocialServiceEducation_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_TransportStorageSector_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_AgricultureForestFishingSector_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_PrivateSectorFormalContract_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_VehicleCommerceRepair_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_PublicSector_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_Employer_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_PrivateSectorNoFormalContract_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_Employed_MainJob_IncomeActuallyReceived","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_DomesticWorker_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_SelfEmployed_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_AccommodationFoodSector_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_Employed_AllJobs","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_CommunicationFinanceSector_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_DomesticServicesSector_Employed_MainJob","2022-06"
"[BRL]","33","[]","[]","[]","Monthly_Mean_Income_Person_Years14Onwards_ConstructionSector_Employed_MainJob","2022-06"
