"Units","MeasurementMethods","ScalingFactors","observationPeriods","NumPlaces","StatVar","MinDate"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_PublicSector_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_Employer_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_AdminSocialServiceEducation_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_AgricultureForestFishingSector_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_AuxiliaryFamilyWorker_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_SelfEmployed_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_PrivateSectorNoFormalContract_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_DomesticServicesSector_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_TransportStorageSector_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_IBGEOtherServicesSector_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_VehicleTradeRepair_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_GeneralIndustry_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_CommunicationFinanceSector_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_AccommodationFoodSector_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_ConstructionSector_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_InLaborForce","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_Unemployed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_DomesticWorker_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_PrivateSectorFormalContract_Employed","2022-06"
"[]","[]","[]","[P3M]","33","Count_Person_Years14Onwards_NotInLaborForce","2022-06"
