"StatVar","ScalingFactors","MeasurementMethods","MinDate","Units","observationPeriods","NumPlaces"
"Count_Person_BrazilRuralDevelopmentProgram_ExtractiveFamily","[]","[]","2012-06","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily","[]","[]","2012-01","[]","[]","1"
"Count_Person_InfrastructureProject_BrazilRuralDevelopmentProgram","[]","[]","2012-04","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_GypsyFamily","[]","[]","2012-05","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_IndigenousFamily","[]","[]","2012-02","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_BrazilNationalLandCreditProgram","[]","[]","2012-05","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_CampFamily","[]","[]","2012-02","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_QuilombolaFamily","[]","[]","2012-01","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_TerreiroCommunity","[]","[]","2012-12","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_PrisonersInPrisonSystem","[]","[]","2012-03","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_RecyclableMaterialCollectorsFamily","[]","[]","2012-04","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_RiversideFamily","[]","[]","2012-02","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_AgrarianReformFamily","[]","[]","2012-01","[]","[]","1"
"Count_Person_BrazilRuralDevelopmentProgram_FishingFamily","[]","[]","2012-01","[]","[]","1"
