"observationPeriods","Units","MeasurementMethods","StatVar","NumPlaces","ScalingFactors","MinDate"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_ExtractiveFamily","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily","3278","[]","2012-01"
"[]","[]","[]","Count_Person_InfrastructureProject_BrazilRuralDevelopmentProgram","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_GypsyFamily","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_IndigenousFamily","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_BrazilNationalLandCreditProgram","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_CampFamily","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_QuilombolaFamily","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_TerreiroCommunity","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_PrisonersInPrisonSystem","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_RecyclableMaterialCollectorsFamily","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_AgrarianReformFamily","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_RiversideFamily","3278","[]","2012-01"
"[]","[]","[]","Count_Person_BrazilRuralDevelopmentProgram_FishingFamily","3278","[]","2012-01"
