"MeasurementMethods","StatVar","NumPlaces","Units","MinDate","observationPeriods","ScalingFactors"
"[]","Count_Person_BrazilRuralDevelopmentProgram_ExtractiveFamily","18","[]","2012-06","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily","26","[]","2012-01","[]","[]"
"[]","Count_Person_InfrastructureProject_BrazilRuralDevelopmentProgram","11","[]","2012-04","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_GypsyFamily","6","[]","2012-05","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_IndigenousFamily","24","[]","2012-02","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_BrazilNationalLandCreditProgram","19","[]","2012-05","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_CampFamily","22","[]","2012-02","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_QuilombolaFamily","23","[]","2012-01","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_TerreiroCommunity","9","[]","2012-12","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_PrisonersInPrisonSystem","19","[]","2012-03","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_RecyclableMaterialCollectorsFamily","21","[]","2012-04","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_RiversideFamily","19","[]","2012-02","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_AgrarianReformFamily","26","[]","2012-01","[]","[]"
"[]","Count_Person_BrazilRuralDevelopmentProgram_FishingFamily","23","[]","2012-01","[]","[]"
