"ScalingFactors","observationPeriods","StatVar","Units","MeasurementMethods","NumPlaces","MinDate"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceHawaiianNativeOrPacificIslander","[]","[]","108198","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Male_Black_VictimTypeHarassedOrBullied","[]","[]","108112","2014"
"[]","[]","Count_Student_BiasMotivationGender_Female_TwoOrMoreRaces_VictimTypeHarassedOrBullied","[]","[]","108145","2014"
"[]","[]","Count_Student_BiasMotivationGender_Female_Black_VictimTypeHarassedOrBullied","[]","[]","108123","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Male","[]","[]","108203","2014"
"[]","[]","Count_Student_BiasMotivationGender_Male_HawaiianNativeOrPacificIslander_VictimTypeHarassedOrBullied","[]","[]","108183","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceWhite","[]","[]","108152","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Male_HawaiianNativeOrPacificIslander_VictimTypeHarassedOrBullied","[]","[]","108183","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Female_White_VictimTypeHarassedOrBullied","[]","[]","108117","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceHispanicOrLatino","[]","[]","108153","2014"
"[]","[]","Count_Student_BiasMotivationGender_Female_Asian_VictimTypeHarassedOrBullied","[]","[]","108154","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Male_Asian_VictimTypeHarassedOrBullied","[]","[]","108149","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceWhite","[]","[]","108161","2014"
"[]","[]","Count_Student_BiasMotivationGender_Male_White_VictimTypeHarassedOrBullied","[]","[]","108113","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceHawaiianNativeOrPacificIslander","[]","[]","108200","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Female","[]","[]","106008","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationDisability_Female_VictimTypeHarassedOrBullied","[]","[]","105975","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Female_White_VictimTypeHarassedOrBullied","[]","[]","108118","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Female","[]","[]","108205","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceBlack","[]","[]","108158","2014"
"[]","[]","Count_Student_Alleged_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying","[]","[]","107970","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_DisabilityServedUnderSection504_Male_VictimTypeHarassedOrBullied","[]","[]","108165","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_DisabilityServedUnderSection504_SuspendedOrExpelled_Male","[]","[]","108184","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceHawaiianNativeOrPacificIslander","[]","[]","108200","2014"
"[]","[]","Count_Student_BiasMotivationGender_DisabilityServedUnderDisabilitiesEducationAct_Male_VictimTypeHarassedOrBullied","[]","[]","108114","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Male_AmericanIndianOrAlaskaNativeAlone_VictimTypeHarassedOrBullied","[]","[]","108172","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_DisabilityServedUnderSection504_SuspendedOrExpelled_Male","[]","[]","108191","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceAsian","[]","[]","108173","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Female_VictimTypeHarassedOrBullied","[]","[]","108195","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationGenderOrRaceOrNationalOrigin_Female_VictimTypeHarassedOrBullied","[]","[]","105974","2014"
"[]","[]","Count_Student_BiasMotivationGender_Male_AmericanIndianOrAlaskaNativeAlone_VictimTypeHarassedOrBullied","[]","[]","108171","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Female_VictimTypeHarassedOrBullied","[]","[]","108196","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationGender_Male_VictimTypeHarassedOrBullied","[]","[]","105969","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceBlack","[]","[]","108167","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Female_AmericanIndianOrAlaskaNativeAlone_VictimTypeHarassedOrBullied","[]","[]","108169","2014"
"[]","[]","Count_Student_BiasMotivationGender_Male_TwoOrMoreRaces_VictimTypeHarassedOrBullied","[]","[]","108145","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_DisabilityServedUnderSection504_SuspendedOrExpelled_Female","[]","[]","108193","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceWhite","[]","[]","108151","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationGender_Female_VictimTypeHarassedOrBullied","[]","[]","105976","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Male_HispanicOrLatino_VictimTypeHarassedOrBullied","[]","[]","108113","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceWhite","[]","[]","108162","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceBlack","[]","[]","108153","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Female_HispanicOrLatino_VictimTypeHarassedOrBullied","[]","[]","108121","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceTwoOrMoreRaces","[]","[]","108174","2014"
"[]","[]","Count_Student_BiasMotivationGender_Male_Black_VictimTypeHarassedOrBullied","[]","[]","108114","2014"
"[]","[]","Count_Student_Alleged_BiasMotivationGender_HarassmentOrBullying","[]","[]","107978","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceAmericanIndianOrAlaskaNativeAlone","[]","[]","108182","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Female_HawaiianNativeOrPacificIslander_VictimTypeHarassedOrBullied","[]","[]","108189","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Female_Black_VictimTypeHarassedOrBullied","[]","[]","108120","2014"
"[]","[]","Count_Student_BiasMotivationGender_DisabilityServedUnderSection504_Female_VictimTypeHarassedOrBullied","[]","[]","108172","2014"
"[]","[]","Count_Student_BiasMotivationGender_Male_Asian_VictimTypeHarassedOrBullied","[]","[]","108150","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationDisability_Male_VictimTypeHarassedOrBullied","[]","[]","105967","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceHispanicOrLatino","[]","[]","108156","2014"
"[]","[]","Count_Student_BiasMotivationDisability_DisabilityServedUnderSection504_Male_VictimTypeHarassedOrBullied","[]","[]","108165","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_DisabilityServedUnderSection504_SuspendedOrExpelled_Female","[]","[]","108188","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Male","[]","[]","106000","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceAsian","[]","[]","108176","2014"
"[]","[]","Count_Student_BiasMotivationDisability_Male_White_VictimTypeHarassedOrBullied","[]","[]","108111","2014"
"[]","[]","Count_Student_BiasMotivationDisability_DisabilityServedUnderDisabilitiesEducationAct_Male_VictimTypeHarassedOrBullied","[]","[]","108112","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Male_HawaiianNativeOrPacificIslander_VictimTypeHarassedOrBullied","[]","[]","108183","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceBlack","[]","[]","108153","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_DisabilityServedUnderDisabilitiesEducationAct_SuspendedOrExpelled_Male","[]","[]","108161","2014"
"[]","[]","Count_Student_BiasMotivationGender_Female_HispanicOrLatino_VictimTypeHarassedOrBullied","[]","[]","108124","2014"
"[]","[]","Count_Student_BiasMotivationDisability_DisabilityServedUnderSection504_Female_VictimTypeHarassedOrBullied","[]","[]","108173","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Male_White_VictimTypeHarassedOrBullied","[]","[]","108110","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceTwoOrMoreRaces","[]","[]","108166","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Male_OffenderRaceHawaiianNativeOrPacificIslander","[]","[]","108197","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_DisabilityServedUnderDisabilitiesEducationAct_SuspendedOrExpelled_Female","[]","[]","108155","2014"
"[]","[]","Count_Student_LimitedEnglishProficiency_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Male","[]","[]","106008","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_SuspendedOrExpelled_Female","[]","[]","108204","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Male","[]","[]","108204","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceHawaiianNativeOrPacificIslander","[]","[]","108201","2014"
"[]","[]","Count_Student_BiasMotivationGender_Female_VictimTypeHarassedOrBullied","[]","[]","108194","2014"
"[]","[]","Count_Student_BiasMotivationDisability_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceAsian","[]","[]","108176","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_HarassmentOrBullying_DisabilityServedUnderSection504_SuspendedOrExpelled_Female","[]","[]","108189","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Male_AmericanIndianOrAlaskaNativeAlone_VictimTypeHarassedOrBullied","[]","[]","108171","2014"
"[]","[]","Count_Student_BiasMotivationGenderOrRaceOrNationalOrigin_Male_TwoOrMoreRaces_VictimTypeHarassedOrBullied","[]","[]","108143","2014"
"[]","[]","Count_Student_BiasMotivationGender_HarassmentOrBullying_SuspendedOrExpelled_Female_OffenderRaceAmericanIndianOrAlaskaNativeAlone","[]","[]","108189","2014"
