"MeasurementMethods","NumPlaces","Units","ScalingFactors","StatVar","observationPeriods","MinDate"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Section504Plan_Male","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Section504Plan_Female","[]","2014"
"[]","97697","[]","[]","Count_Student_Male_AmericanIndianOrAlaskaNative","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Female_HispanicOrLatino","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Male_White","[]","2014"
"[]","98933","[]","[]","Count_Student_Male_Asian","[]","2014"
"[]","105288","[]","[]","Count_Student_Male_HispanicOrLatino","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Female_NativeHawaiianOrOtherPacificIslanderAlone","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Male_AmericanIndianOrAlaskaNative","[]","2014"
"[]","67469","[]","[]","Count_Student_Female_Homeless","[]","2018"
"[]","96120","[]","[]","Count_Student_Male_NativeHawaiianOrOtherPacificIslanderAlone","[]","2014"
"[]","68277","[]","[]","Count_Student_Male_Homeless","[]","2018"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Male_Asian","[]","2014"
"[]","101050","[]","[]","Count_Student_Female_TwoOrMoreRaces","[]","2014"
"[]","98552","[]","[]","Count_Student_Section504Plan_Female","[]","2014"
"[]","101347","[]","[]","Count_Student_Male_TwoOrMoreRaces","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Male_BlackOrAfricanAmericanAlone","[]","2014"
"[]","105086","[]","[]","Count_Student_Female_HispanicOrLatino","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Male_HispanicOrLatino","[]","2014"
"[]","93859","[]","[]","Count_Student_Male","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Female_White","[]","2014"
"[]","93861","[]","[]","Count_Student_Female","[]","2014"
"[]","105027","[]","[]","Count_Student_WithDisability_Female","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Male_TwoOrMoreRaces","[]","2014"
"[]","103856","[]","[]","Count_Student_Female_White","[]","2014"
"[]","102885","[]","[]","Count_Student_Male_BlackOrAfricanAmericanAlone","[]","2014"
"[]","102733","[]","[]","Count_Student_Female_BlackOrAfricanAmericanAlone","[]","2014"
"[]","101732","[]","[]","Count_Student_LimitedEnglishProficiency_Female","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Male_NativeHawaiianOrOtherPacificIslanderAlone","[]","2014"
"[]","98777","[]","[]","Count_Student_Female_Asian","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Female_BlackOrAfricanAmericanAlone","[]","2014"
"[]","102122","[]","[]","Count_Student_LimitedEnglishProficiency_Male","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Female_Asian","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Female_TwoOrMoreRaces","[]","2014"
"[]","95951","[]","[]","Count_Student_Female_NativeHawaiianOrOtherPacificIslanderAlone","[]","2014"
"[]","104191","[]","[]","Count_Student_Male_White","[]","2014"
"[]","95507","[]","[]","DataSuppressed_Count_Student_Female_AmericanIndianOrAlaskaNative","[]","2014"
"[]","97661","[]","[]","Count_Student_Female_AmericanIndianOrAlaskaNative","[]","2014"
"[]","105834","[]","[]","Count_Student_WithDisability_Male","[]","2014"
"[]","98867","[]","[]","Count_Student_Section504Plan_Male","[]","2014"
