"MinDate","StatVar","NumPlaces","Units","ScalingFactors","observationPeriods","MeasurementMethods"
"2018","Count_Student_ThreatOfAttackWithoutWeapon_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideOccurred","117","[]","[]","[]","[]"
"2021","Count_Student_RobberyWithoutWeapon_JuvenileJusticeFacility_FirearmPresent_HomicideOccurred","1","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithoutWeapon_NotJuvenileJusticeFacility_HomicideNotOccurred","64","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","94331","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmPresent_HomicideOccurred","10","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithoutWeapon_NotJuvenileJusticeFacility","17","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithFirearmOrExplosive_NotJuvenileJusticeFacility_FirearmPresent","2","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithFirearmOrExplosive_NotJuvenileJusticeFacility_HomicideNotOccurred","8","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithoutWeapon_NotJuvenileJusticeFacility_FirearmPresent_HomicideOccurred","34","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithFirearmOrExplosive_NotJuvenileJusticeFacility","5","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithoutWeapon_NotJuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","511","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithoutWeapon_NotJuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","512","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithWeapon_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideOccurred","117","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithoutWeapon_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","99781","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithWeapon_NotJuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","511","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithoutWeapon_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","99779","[]","[]","[]","[]"
"2021","Count_Student_RobberyWithWeapon_JuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","1","[]","[]","[]","[]"
"2018","Count_Student_AttemptedRobberyWithoutWeapon_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideOccurred","117","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithoutWeapon_NotJuvenileJusticeFacility_FirearmPresent_HomicideNotOccurred","512","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithoutWeapon_JuvenileJusticeFacility_FirearmNotPresent_HomicideNotOccurred","681","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithWeapon_NotJuvenileJusticeFacility","17","[]","[]","[]","[]"
"2018","Count_Student_ThreatOfAttackWithFirearmOrExplosive_NotJuvenileJusticeFacility_HomicideNotOccurred","36","[]","[]","[]","[]"
"2018","Count_Student_RobberyWithoutWeapon_NotJuvenileJusticeFacility_FirearmNotPresent_HomicideOccurred","117","[]","[]","[]","[]"
