"MinDate","observationPeriods","NumPlaces","StatVar","ScalingFactors","MeasurementMethods","Units"
"2010","[]","18958","Count_Student_IDEA_Male_AmericanIndianOrAlaskaNative_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","103551","Count_Student_NotJuvenileJusticeFacility_IDEA_Male_NativeHawaiianOrOtherPacificIslanderAlone_MechanicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Male_AmericanIndianOrAlaskaNative_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_NonIDEA_Male_White_PhysicalRestraint","[]","[]","[]"
"2014","[]","104212","Count_Student_NotJuvenileJusticeFacility_NonIDEA_LimitedEnglishProficiency_Male_PhysicalRestraint","[]","[]","[]"
"2010","[]","96652","Count_Student_IDEA_Male_AmericanIndianOrAlaskaNative_Seclusion_SchoolGrade7","[]","[]","[]"
"2014","[]","852","Count_Student_JuvenileJusticeFacility_NonIDEA_Male_BlackOrAfricanAmericanAlone_PhysicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Female_AmericanIndianOrAlaskaNative_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_LimitedEnglishProficiency_Male_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Female_AmericanIndianOrAlaskaNative_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_LimitedEnglishProficiency_Male_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Female_TwoOrMoreRaces_Seclusion","[]","[]","[]"
"2014","[]","865","Count_Student_JuvenileJusticeFacility_IDEA_LimitedEnglishProficiency_Female_Seclusion","[]","[]","[]"
"2014","[]","856","Count_Student_JuvenileJusticeFacility_Section504Plan_Seclusion","[]","[]","[]"
"2010","[]","53204","Count_Student_Section504Plan_Female_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","101344","Count_Student_NonIDEA_PhysicalRestraint","[]","[]","[]"
"2014","[]","104589","Count_Student_NotJuvenileJusticeFacility_IDEA_LimitedEnglishProficiency_Female_PhysicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_Section504Plan_Female_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Male_AmericanIndianOrAlaskaNative_Seclusion_SchoolGrade5","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Male_NativeHawaiianOrOtherPacificIslanderAlone_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","104619","Count_Student_NotJuvenileJusticeFacility_IDEA_Seclusion","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Male_White_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Male_White_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Female_Asian_Seclusion","[]","[]","[]"
"2014","[]","861","Count_Student_JuvenileJusticeFacility_NonIDEA_LimitedEnglishProficiency_Male_MechanicalRestraint","[]","[]","[]"
"2014","[]","103494","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Female_PhysicalRestraint","[]","[]","[]"
"2014","[]","103210","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Male_HispanicOrLatino_MechanicalRestraint","[]","[]","[]"
"2014","[]","104688","Count_Student_NotJuvenileJusticeFacility_IDEA_Male_NativeHawaiianOrOtherPacificIslanderAlone_Seclusion","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Female_White_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Female_White_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","856","Count_Student_JuvenileJusticeFacility_IDEA_PhysicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Male_Asian_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Male_TwoOrMoreRaces_PhysicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_Male_Asian_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","104182","Count_Student_NotJuvenileJusticeFacility_NonIDEA_LimitedEnglishProficiency_Male_MechanicalRestraint","[]","[]","[]"
"2014","[]","103577","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_TwoOrMoreRaces_PhysicalRestraint","[]","[]","[]"
"2014","[]","103216","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Male_White_MechanicalRestraint","[]","[]","[]"
"2014","[]","854","Count_Student_JuvenileJusticeFacility_IDEA_Female_AmericanIndianOrAlaskaNative_MechanicalRestraint","[]","[]","[]"
"2010","[]","72162","Count_Student_IDEA_Seclusion","[]","[]","[]"
"2014","[]","103536","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_BlackOrAfricanAmericanAlone_PhysicalRestraint","[]","[]","[]"
"2014","[]","104473","Count_Student_NotJuvenileJusticeFacility_IDEA_LimitedEnglishProficiency_Male_MechanicalRestraint","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_NonIDEA_Female_HispanicOrLatino_PhysicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_Female_White_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","104591","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Female_Seclusion","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Male_Asian_Seclusion","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Male_White_PhysicalRestraint","[]","[]","[]"
"2014","[]","103545","Count_Student_NotJuvenileJusticeFacility_IDEA_Male_AmericanIndianOrAlaskaNative_MechanicalRestraint","[]","[]","[]"
"2010","[]","53204","Count_Student_NonIDEA_Female_White_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","853","Count_Student_JuvenileJusticeFacility_IDEA_Male_HispanicOrLatino_MechanicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_IDEA_Male_Asian_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_IDEA_Male_Asian_MechanicalRestraint_SchoolGrade5","[]","[]","[]"
"2014","[]","104336","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Female_BlackOrAfricanAmericanAlone_Seclusion","[]","[]","[]"
"2014","[]","103551","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_NativeHawaiianOrOtherPacificIslanderAlone_MechanicalRestraint","[]","[]","[]"
"2014","[]","854","Count_Student_JuvenileJusticeFacility_IDEA_Male_AmericanIndianOrAlaskaNative_MechanicalRestraint","[]","[]","[]"
"2014","[]","863","Count_Student_JuvenileJusticeFacility_NonIDEA_LimitedEnglishProficiency_Female_Seclusion","[]","[]","[]"
"2014","[]","104347","Count_Student_NotJuvenileJusticeFacility_NonIDEA_Male_White_Seclusion","[]","[]","[]"
"2014","[]","103580","Count_Student_NotJuvenileJusticeFacility_IDEA_Male_Asian_PhysicalRestraint","[]","[]","[]"
"2014","[]","855","Count_Student_JuvenileJusticeFacility_IDEA_Male_Seclusion","[]","[]","[]"
"2014","[]","104688","Count_Student_NotJuvenileJusticeFacility_IDEA_Female_Seclusion","[]","[]","[]"
"2014","[]","103532","Count_Student_NotJuvenileJusticeFacility_IDEA_Male_TwoOrMoreRaces_MechanicalRestraint","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_Female_TwoOrMoreRaces_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
"2014","[]","103546","Count_Student_NotJuvenileJusticeFacility_IDEA_Male_HispanicOrLatino_PhysicalRestraint","[]","[]","[]"
"2014","[]","103483","Count_Student_NotJuvenileJusticeFacility_IDEA_MechanicalRestraint","[]","[]","[]"
"2010","[]","101344","Count_Student_IDEA_PhysicalRestraint","[]","[]","[]"
"2010","[]","96652","Count_Student_IDEA_Male_TwoOrMoreRaces_Seclusion_SchoolGrade7","[]","[]","[]"
"2010","[]","53204","Count_Student_Section504Plan_Female_PhysicalRestraint_SchoolGrade5","[]","[]","[]"
"2010","[]","18958","Count_Student_Section504Plan_Female_PhysicalRestraint_SchoolGrade7","[]","[]","[]"
"2010","[]","18958","Count_Student_NonIDEA_Male_MechanicalRestraint_SchoolGrade7","[]","[]","[]"
