"MinDate","Units","NumPlaces","observationPeriods","ScalingFactors","MeasurementMethods","StatVar"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_NetDomesticProduction"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_GrossValueAdded_FinancialServices"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_GrossValueAdded_Agriculture"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_GrossValueAdded_Industry"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_NetDomesticProduction_PerCapita"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_GrossValueAdded_Services"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_NetDomesticProduction_PerCapita"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_NetValueAdded_Construction"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","Amount_EconomicActivity_GrossValueAdded_RealValue"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Amount_EconomicActivity_GrossDomesticProduction_Nominal"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_NetValueAdded_Agriculture"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_NetDomesticProduction"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_NetValueAdded"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_GrossValueAdded_Construction"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_NetValueAdded_Industry"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_NetValueAdded_Services"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_GrossValueAdded_Services"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_GrossValueAdded_Construction"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_GrossValueAdded_ManufacturingSector"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_NetValueAdded"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_GrossValueAdded_Industry"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_GrossValueAdded_Agriculture"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_NetValueAdded_FinancialServices"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","Amount_EconomicActivity_GrossDomesticProduction_RealValue"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_NetValueAdded_ManufacturingSector"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_NetValueAdded_Agriculture"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_NetValueAdded_Construction"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_GrossValueAdded"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_NetValueAdded_ManufacturingSector"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_GrossValueAdded_FinancialServices"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_NetValueAdded_Services"
"2012-03","[INR]","33","[P1Y]","[]","[ConstantPrice_WithBaseYear2011_12]","Nominal_Amount_EconomicActivity_NetValueAdded_FinancialServices"
"2012-03","[INR]","34","[P1Y]","[]","[CurrentPrice_WithBaseYear2011_12]","RealValue_Amount_EconomicActivity_NetValueAdded_Industry"
