"ScalingFactors","Units","NumPlaces","observationPeriods","MinDate","MeasurementMethods","StatVar"
"[]","[]","23","[]","2009","[]","Count_Person_WholesaleRetailTradeAndRepair_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_HouseholdActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_MiningQuarrying_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_EducationSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_ProfessionalScientificTechnicalActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_PublicAdministrationAndDefence_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_AdministrativeAndSupportServices_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_RealEstate_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_InformationAndCommunication_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_OtherServiceSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_TransportStorageSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_ProcessingIndustry_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_HouseholdActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_InformationAndCommunication_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_ArtsEntertainmentRecreation_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_ElectricityGasSteamAndAirConditioner_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_AccommodationFoodSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_RealEstate_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_AgricultureForestFishingSector_Employed_Male"
