"StatVar","observationPeriods","NumPlaces","Units","MinDate","MeasurementMethods","ScalingFactors"
"Count_Person_65To69Years_Employed_Male_AsAFractionOf_Count_Person_65To69Years_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_60To64Years_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_25To29Years_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_30To34Years_Employed_Female_AsAFractionOf_Count_Person_30To34Years_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_45To49Years_Employed_Female_AsAFractionOf_Count_Person_45To49Years_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_15To19Years_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_Employed_Female_AsAFractionOf_Count_Person_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_Employed_Male_AsAFractionOf_Count_Person_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_35To39Years_Employed_Male_AsAFractionOf_Count_Person_35To39Years_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_25To29Years_Employed_Male_AsAFractionOf_Count_Person_25To29Years_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_20To24Years_Employed_Female_AsAFractionOf_Count_Person_20To24Years_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_55To59Years_Employed_Male_AsAFractionOf_Count_Person_55To59Years_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_50To54Years_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_35To39Years_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_25To29Years_Employed_Female_AsAFractionOf_Count_Person_25To29Years_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_70OrMoreYears_Employed_Female_AsAFractionOf_Count_Person_70OrMoreYears_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_40To44Years_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_35To39Years_Employed_Female_AsAFractionOf_Count_Person_35To39Years_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_30To34Years_Employed_Male_AsAFractionOf_Count_Person_30To34Years_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_60To64Years_Employed_Male_AsAFractionOf_Count_Person_60To64Years_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_50To54Years_Employed_Male_AsAFractionOf_Count_Person_50To54Years_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_15To19Years_Employed_Female_AsAFractionOf_Count_Person_15To19Years_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_55To59Years_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_65To69Years_Employed_Female_AsAFractionOf_Count_Person_65To69Years_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_30To34Years_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_15To19Years_Employed_Male_AsAFractionOf_Count_Person_15To19Years_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_45To49Years_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_70OrMoreYears_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_60To64Years_Employed_Female_AsAFractionOf_Count_Person_60To64Years_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_65To69Years_Employed","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_20To24Years_Employed_Male_AsAFractionOf_Count_Person_20To24Years_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_70OrMoreYears_Employed_Male_AsAFractionOf_Count_Person_70OrMoreYears_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_40To44Years_Employed_Female_AsAFractionOf_Count_Person_40To44Years_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_40To44Years_Employed_Male_AsAFractionOf_Count_Person_40To44Years_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_50To54Years_Employed_Female_AsAFractionOf_Count_Person_50To54Years_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_45To49Years_Employed_Male_AsAFractionOf_Count_Person_45To49Years_Male","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_55To59Years_Employed_Female_AsAFractionOf_Count_Person_55To59Years_Female","[]","22","[Percent]","1992","[]","[100]"
"Count_Person_20To24Years_Employed","[]","22","[Percent]","1992","[]","[100]"
