"MeasurementMethods","ScalingFactors","StatVar","Units","observationPeriods","MinDate","NumPlaces"
"[]","[]","Count_Person_45To49Years_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","23"
"[]","[]","Count_Person_45To49Years_LaborUnderutilizedPotentialLaborForce_Female","[]","[]","2019","23"
"[]","[]","Count_Person_50To54Years_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","22"
"[]","[]","Count_Person_25To29Years_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_45To49Years_LaborUnderutilizedTimeRelatedUnderemployed","[]","[]","2019","23"
"[]","[]","Count_Person_45To49Years_LaborUnderutilized_Male","[]","[]","2019","22"
"[]","[]","Count_Person_25To29Years_LaborUnderutilizedTimeRelatedUnderemployed","[]","[]","2019","23"
"[]","[]","Count_Person_30To34Years_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_15To19Years_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","23"
"[]","[]","Count_Person_35To39Years_LaborUnderutilizedTimeRelatedUnderemployed","[]","[]","2019","23"
"[]","[]","Count_Person_30To34Years_LaborUnderutilized_Male","[]","[]","2019","22"
"[]","[]","Count_Person_20To24Years_LaborUnderutilizedPotentialLaborForce_Female","[]","[]","2019","23"
"[]","[]","Count_Person_55To59Years_LaborUnderutilizedTimeRelatedUnderemployed","[]","[]","2019","23"
"[]","[]","Count_Person_70OrMoreYears_LaborUnderutilized_Female","[]","[]","2019","23"
"[]","[]","Count_Person_70OrMoreYears_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_55To59Years_LaborUnderutilized","[]","[]","2019","22"
"[]","[]","Count_Person_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","22"
"[]","[]","Count_Person_65To69Years_LaborUnderutilizedTimeRelatedUnderemployed","[]","[]","2019","23"
"[]","[]","Count_Person_40To44Years_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_50To54Years_LaborUnderutilized","[]","[]","2019","22"
"[]","[]","Count_Person_45To49Years_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_30To34Years_LaborUnderutilizedPotentialLaborForce_Female","[]","[]","2019","22"
"[]","[]","Count_Person_65To69Years_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_40To44Years_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_70OrMoreYears_LaborUnderutilized","[]","[]","2019","23"
"[]","[]","Count_Person_55To59Years_LaborUnderutilizedPotentialLaborForce_Female","[]","[]","2019","23"
"[]","[]","Count_Person_20To24Years_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_60To64Years_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_15To19Years_LaborUnderutilizedTimeRelatedUnderemployed","[]","[]","2019","23"
"[]","[]","Count_Person_LaborUnderutilized_Male","[]","[]","2019","22"
"[]","[]","Count_Person_50To54Years_LaborUnderutilizedTimeRelatedUnderemployed","[]","[]","2019","23"
"[]","[]","Count_Person_60To64Years_LaborUnderutilized","[]","[]","2019","23"
"[]","[]","Count_Person_15To19Years_LaborUnderutilized_Male","[]","[]","2019","23"
"[]","[]","Count_Person_30To34Years_LaborUnderutilizedTimeRelatedUnderemployed","[]","[]","2019","23"
"[]","[]","Count_Person_65To69Years_LaborUnderutilized","[]","[]","2019","23"
"[]","[]","Count_Person_20To24Years_LaborUnderutilized_Male","[]","[]","2019","22"
"[]","[]","Count_Person_70OrMoreYears_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","23"
"[]","[]","Count_Person_70OrMoreYears_LaborUnderutilizedTimeRelatedUnderemployed","[]","[]","2019","23"
"[]","[]","Count_Person_25To29Years_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","23"
"[]","[]","Count_Person_15To19Years_LaborUnderutilized","[]","[]","2019","22"
"[]","[]","Count_Person_60To64Years_LaborUnderutilizedPotentialLaborForce_Female","[]","[]","2019","23"
"[]","[]","Count_Person_60To64Years_LaborUnderutilized_Male","[]","[]","2019","23"
"[]","[]","Count_Person_55To59Years_LaborUnderutilized_Male","[]","[]","2019","22"
"[]","[]","Count_Person_15To19Years_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_70OrMoreYears_LaborUnderutilizedPotentialLaborForce_Female","[]","[]","2019","23"
"[]","[]","Count_Person_60To64Years_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_55To59Years_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","22"
"[]","[]","Count_Person_50To54Years_LaborUnderutilized_Female","[]","[]","2019","22"
"[]","[]","Count_Person_25To29Years_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_60To64Years_LaborUnderutilized_Female","[]","[]","2019","23"
"[]","[]","Count_Person_20To24Years_LaborUnderutilized","[]","[]","2019","22"
"[]","[]","Count_Person_70OrMoreYears_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","23"
"[]","[]","Count_Person_30To34Years_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","22"
"[]","[]","Count_Person_35To39Years_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_20To24Years_LaborUnderutilized_Female","[]","[]","2019","22"
"[]","[]","Count_Person_40To44Years_LaborUnderutilized_Female","[]","[]","2019","22"
"[]","[]","Count_Person_30To34Years_LaborUnderutilized_Female","[]","[]","2019","22"
"[]","[]","Count_Person_LaborUnderutilized_Female","[]","[]","2019","22"
"[]","[]","Count_Person_45To49Years_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_60To64Years_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","23"
"[]","[]","Count_Person_70OrMoreYears_LaborUnderutilized_Male","[]","[]","2019","23"
"[]","[]","Count_Person_30To34Years_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","22"
"[]","[]","Count_Person_20To24Years_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_50To54Years_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","23"
"[]","[]","Count_Person_15To19Years_LaborUnderutilizedPotentialLaborForce_Female","[]","[]","2019","23"
"[]","[]","Count_Person_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_55To59Years_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","22"
"[]","[]","Count_Person_65To69Years_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_55To59Years_LaborUnderutilizedTimeRelatedUnderemployed_Male","[]","[]","2019","23"
"[]","[]","Count_Person_25To29Years_LaborUnderutilized_Male","[]","[]","2019","22"
"[]","[]","Count_Person_35To39Years_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_50To54Years_LaborUnderutilizedPotentialLaborForce_Female","[]","[]","2019","23"
"[]","[]","Count_Person_70OrMoreYears_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_50To54Years_LaborUnderutilized_Male","[]","[]","2019","23"
"[]","[]","Count_Person_30To34Years_LaborUnderutilized","[]","[]","2019","22"
"[]","[]","Count_Person_25To29Years_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","23"
"[]","[]","Count_Person_35To39Years_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","22"
"[]","[]","Count_Person_65To69Years_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","23"
"[]","[]","Count_Person_45To49Years_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","23"
"[]","[]","Count_Person_65To69Years_LaborUnderutilized_Male","[]","[]","2019","23"
"[]","[]","Count_Person_25To29Years_LaborUnderutilized","[]","[]","2019","22"
"[]","[]","Count_Person_40To44Years_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","22"
"[]","[]","Count_Person_30To34Years_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_55To59Years_LaborUnderutilizedTimeRelatedUnderemployed_Female","[]","[]","2019","23"
"[]","[]","Count_Person_25To29Years_LaborUnderutilizedPotentialLaborForce_Female","[]","[]","2019","23"
"[]","[]","Count_Person_15To19Years_LaborUnderutilizedPotentialLaborForce_Male","[]","[]","2019","23"
"[]","[]","Count_Person_65To69Years_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","23"
"[]","[]","Count_Person_35To39Years_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","22"
"[]","[]","Count_Person_40To44Years_LaborUnderutilizedTimeRelatedUnderemployed","[]","[]","2019","23"
"[]","[]","Count_Person_35To39Years_LaborUnderutilized_Male","[]","[]","2019","22"
"[]","[]","Count_Person_20To24Years_LaborUnderutilizedPotentialLaborForce","[]","[]","2019","22"
"[]","[]","Count_Person_40To44Years_LaborUnderutilized_Male","[]","[]","2019","22"
