"ScalingFactors","StatVar","Units","MinDate","observationPeriods","MeasurementMethods","NumPlaces"
"[]","Count_Person_Unemployed_Male_SpecializedSecondarySchool","[]","2008-01","[]","[]","22"
"[]","Count_Person_EducationalAttainmentBachelorsDegreeOrDiploma_Unemployed_Female","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_Male_UpperSecondaryEducation","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_Female","[]","2008-01","[]","[]","22"
"[]","Count_Person_EducationalAttainmentNoEducation_Unemployed","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_Female_LowerSecondaryEducation","[]","2008-01","[]","[]","22"
"[]","Count_Person_EducationalAttainmentNoEducation_Unemployed_Female","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_LowerSecondaryEducation","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_SpecializedSecondarySchool","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_Male","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_PrimaryEducation","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_Male_LowerSecondaryEducation","[]","2008-01","[]","[]","22"
"[]","Count_Person_EducationalAttainmentBachelorsDegreeOrDiploma_Unemployed","[]","2008-01","[]","[]","22"
"[]","Count_Person_EducationalAttainmentMastersDegreeOrDoctorateDegree_Unemployed_Male","[]","2008-01","[]","[]","22"
"[]","Count_Person_EducationalAttainmentBachelorsDegreeOrDiploma_Unemployed_Male","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_PrimaryEducation_Female","[]","2008-01","[]","[]","22"
"[]","Count_Person_EducationalAttainmentMastersDegreeOrDoctorateDegree_Unemployed","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_Female_SpecializedSecondarySchool","[]","2008-01","[]","[]","22"
"[]","Count_Person_EducationalAttainmentMastersDegreeOrDoctorateDegree_Unemployed_Female","[]","2008-01","[]","[]","22"
"[]","Count_Person_EducationalAttainmentNoEducation_Unemployed_Male","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_Female_UpperSecondaryEducation","[]","2008-01","[]","[]","22"
"[]","Count_Person_Unemployed_PrimaryEducation_Male","[]","2008-01","[]","[]","22"
