"observationPeriods","MeasurementMethods","StatVar","NumPlaces","Units","MinDate","ScalingFactors"
"[]","[]","Count_Person_25To34Years_ShortCycleTertiaryEducation_Female_AsAFractionOf_Count_Person_25To34Years_Female","407","[Percent]","2000","[]"
"[]","[]","Count_Person_25To64Years_LowerSecondaryEducation_AsAFractionOf_Count_Person_25To64Years","661","[Percent]","2000","[]"
"[]","[]","Count_Person_25To64Years_DoctorateDegree_Female_AsAFractionOf_Count_Person_25To64Years_Female","238","[Percent]","2005","[]"
"[]","[]","Count_Person_25To64Years_ShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years","472","[Percent]","2000","[]"
"[]","[]","Count_Person_25To64Years_DoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male","238","[Percent]","2005","[]"
"[]","[]","Count_Person_25To34Years_LowerSecondaryEducation_Female_AsAFractionOf_Count_Person_25To34Years_Female","531","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOf_Count_Person_25To34Years_Female","531","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_DoctorateDegree_Male_AsAFractionOf_Count_Person_25To34Years_Male","350","[Percent]","2005","[]"
"[]","[]","Count_Person_25To34Years_LowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years","643","[Percent]","2000","[]"
"[]","[]","Count_Person_25To64Years_ShortCycleTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male","281","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_MastersDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To34Years_Male","422","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_BachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years","600","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_LowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To34Years_Male","529","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_ShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years","541","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_BachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To34Years_Female","446","[Percent]","2000","[]"
"[]","[]","Count_Person_25To64Years_BachelorsDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To64Years_Female","278","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_MastersDegreeOrHigher_Female_AsAFractionOf_Count_Person_25To34Years_Female","423","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_TertiaryEducation_Female_AsAFractionOf_Count_Person_25To34Years_Female","531","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_AsAFractionOf_Count_Person_25To34Years","644","[Percent]","2000","[]"
"[]","[]","Count_Person_25To64Years_TertiaryEducation_Female_AsAFractionOfCount_Person_25To64Years_Female","539","[Percent]","2000","[]"
"[]","[]","Count_Person_25To64Years_ShortCycleTertiaryEducation_Female_AsAFractionOf_Count_Person_25To64Years_Female","282","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_MastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years","583","[Percent]","2000","[]"
"[]","[]","Count_Person_25To64Years_TertiaryEducation_Male_AsAFractionOfCount_Person_25To64Years_Male","539","[Percent]","2000","[]"
"[]","[]","Count_Person_25To64Years_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOfCount_Person_25To64Years_Female","539","[Percent]","2000","[]"
"[]","[]","Count_Person_25To34Years_BachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To34Years_Male","447","[Percent]","2000","[]"
"[]","[]","Count_Person_25To64Years_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_AsAFractionOfCount_Person_25To64Years","661","[Percent]","2000","[]"
