"MinDate","MeasurementMethods","StatVar","observationPeriods","ScalingFactors","Units","NumPlaces"
"2018","[]","Count_MortalityEvent_CertainConditionsOriginatingInThePerinatalPeriod_Female_Asian","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_ParkinsonsDisease_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","30"
"2018","[]","Count_MortalityEvent_IntentionalSelf-Harm_Suicide_ByOtherAndUnspecifiedMeansAndTheirSequelae_Male_Asian","[P1Y]","[]","[]","20"
"2018","[]","Count_MortalityEvent_TransportAccidents_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","6"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfCervixUteri_Female_Asian","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_IntentionalSelf-Harm_Suicide_ByDischargeOfFirearms_Male_Asian","[P1Y]","[]","[]","6"
"2018","[]","Count_MortalityEvent_OtherFormsOfChronicIschemicHeartDisease_Male_Asian","[P1Y]","[]","[]","93"
"2018","[]","Count_MortalityEvent_CongenitalMalformationsDeformationsAndChromosomalAbnormalities_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","20"
"2018","[]","Count_MortalityEvent_HeartFailure_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","180"
"2020","[]","Count_MortalityEvent_AlcoholicLiverDisease_Female_Asian","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_ChronicLowerRespiratoryDiseases_Female_White","[P1Y]","[]","[]","1940"
"2018","[]","Count_MortalityEvent_SymptomsSignsAndAbnormalClinicalAndLaboratoryFindingsNotElsewhereClassified_Male_Asian","[P1Y]","[]","[]","13"
"2018","[]","Count_MortalityEvent_AllOtherAndUnspecifiedMalignantNeoplasms_Male_White","[P1Y]","[]","[]","1161"
"2022","[]","Count_MortalityEvent_Septicemia_Male_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","1"
"2019","[]","Count_MortalityEvent_MalignantNeoplasmsOfTracheaBronchusAndLung_Female_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfEsophagus_Male_Asian","[P1Y]","[]","[]","8"
"2018","[]","Count_MortalityEvent_Assault_Homicide_ByOtherAndUnspecifiedMeansAndTheirSequelae_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","11"
"2021","[]","Count_MortalityEvent_PepticUlcer_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfProstate_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","183"
"2018","[]","Count_MortalityEvent_CertainOtherIntestinalInfections_Male_White","[P1Y]","[]","[]","71"
"2023","[]","Count_MortalityEvent_MalignantNeoplasmsOfColonRectumAndAnus_Male_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","1"
"2020","[]","Count_MortalityEvent_OtherAndUnspecifiedInfectiousAndParasiticDiseasesAndTheirSequelae_Female_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","14"
"2018","[]","Count_MortalityEvent_AllOtherDiseases_Residual__Female_Asian","[P1Y]","[]","[]","128"
"2018","[]","Count_MortalityEvent_OtherFormsOfChronicIschemicHeartDisease_Female_White","[P1Y]","[]","[]","1770"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfCervixUteri_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","21"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfLiverAndIntrahepaticBileDucts_Female_White","[P1Y]","[]","[]","265"
"2018","[]","Count_MortalityEvent_MajorCardiovascularDiseases_Female_Asian","[P1Y]","[]","[]","197"
"2018","[]","Count_MortalityEvent_OtherChronicLowerRespiratoryDiseases_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_OtherDiseasesOfCirculatorySystem_Male_Asian","[P1Y]","[]","[]","10"
"2018","[]","Count_MortalityEvent_AcuteMyocardialInfarction_Female_TwoOrMoreRaces","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfTracheaBronchusAndLung_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","270"
"2018","[]","Count_MortalityEvent_OtherFormsOfChronicIschemicHeartDisease_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","10"
"2018","[]","Count_MortalityEvent_HodgkinsDisease_Female_White","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_AllOtherFormsOfChronicIschemicHeartDisease_Female_TwoOrMoreRaces","[P1Y]","[]","[]","6"
"2018","[]","Count_MortalityEvent_AtheroscleroticCardiovascularDiseaseSoDescribed_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","118"
"2020","[]","Count_MortalityEvent_Pneumonia_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_NephritisNephroticSyndromeAndNephrosis_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","2"
