"MeasurementMethods","ScalingFactors","NumPlaces","observationPeriods","StatVar","MinDate","Units"
"[DataCommonsAggregate]","[]","44","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSAOtherJurisdiction","2021","[]"
"[DataCommonsAggregate]","[]","2969","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_OnRoadside","2021","[]"
"[DataCommonsAggregate]","[]","114","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_TrafficwayNotInStateInventory","2023","[]"
"[DataCommonsAggregate]","[]","15","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_OffInterstateBusinessMarker","2023","[]"
"[DataCommonsAggregate]","[]","1935","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_RainOrMist","2021","[]"
"[DataCommonsAggregate]","[]","3135","[P1D, P1Y, P1M]","Count_Vehicle_InvolvedInCrash_InTransport","2021","[]"
"[DataCommonsAggregate]","[]","543","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_UnknownLight","2021","[]"
"[DataCommonsAggregate]","[]","2733","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NationalHighway","2021","[]"
"[DataCommonsAggregate]","[]","647","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_WorkZone_Construction","2021","[]"
"[DataCommonsAggregate]","[]","125","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_PedestrianRefugeIslandOrTrafficIsland","2021","[]"
"[DataCommonsAggregate]","[]","182","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_SevereCrosswind","2021","[]"
"[DataCommonsAggregate]","[]","2876","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_Dark","2021","[]"
"[DataCommonsAggregate]","[]","908","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSAOtherLocation","2021","[]"
"[DataCommonsAggregate]","[]","128","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollisionCrash_RearToSideCollision","2021","[]"
"[DataCommonsAggregate]","[]","122","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollisionCrash_NHTSANotReportedOrientation","2021","[]"
"[DataCommonsAggregate]","[]","96","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_SecondaryRoute","2023","[]"
"[DataCommonsAggregate]","[]","103","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_FreezingRainOrDrizzle","2021","[]"
"[DataCommonsAggregate]","[]","13","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_ParkwayMarkerOrForestRouteMarker","2023","[]"
"[DataCommonsAggregate]","[]","80","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSAUnknownLocationType","2021","[]"
"[DataCommonsAggregate]","[]","2373","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_USHighway","2021","[]"
"[DataCommonsAggregate]","[]","824","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollisionCrash_SideswipeSameDirectionCollision","2021","[]"
"[DataCommonsAggregate]","[]","3135","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NotAWorkZone","2021","[]"
"[DataCommonsAggregate]","[]","160","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NationalParkService","2021","[]"
"[DataCommonsAggregate]","[]","304","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_InvolvedInCrash_SchoolBus","2021","[]"
"[DataCommonsAggregate]","[]","113","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_IndianReservation","2021","[]"
"[DataCommonsAggregate]","[]","808","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_LocalStreetTownship","2021","[]"
"[DataCommonsAggregate]","[]","3135","[P1D, P1Y, P1M]","Count_VehicleCrashIncident","2021","[]"
"[DataCommonsAggregate]","[]","137","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_ContinuousLeftTurnLane","2021","[]"
"[DataCommonsAggregate]","[]","180","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_OffRoadway","2021","[]"
"[DataCommonsAggregate]","[]","355","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_GoreRoad","2021","[]"
"[DataCommonsAggregate]","[]","1216","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_OnMedian","2021","[]"
"[DataCommonsAggregate]","[]","161","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSANotReportedIntersectionType","2021","[]"
"[DataCommonsAggregate]","[]","158","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_FivePointOrMore","2021","[]"
"[DataCommonsAggregate]","[]","605","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_Snow","2021","[]"
"[DataCommonsAggregate]","[]","1350","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_InterstateRoad","2021","[]"
"[DataCommonsAggregate]","[]","100","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSANotReportedLocationType","2021","[]"
"[DataCommonsAggregate]","[]","653","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSAWeatherNotReported","2021","[]"
"[DataCommonsAggregate]","[]","98","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollisionCrash_NHTSAUnknownOrientation","2021","[]"
"[DataCommonsAggregate]","[]","3135","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_InvolvedInCrash_NotASchoolBus","2021","[]"
"[DataCommonsAggregate]","[]","79","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSAOtherLightLevel","2021","[]"
"[DataCommonsAggregate]","[]","136","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSAOtherWeatherCondition","2021","[]"
"[DataCommonsAggregate]","[]","1864","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_TIntersection","2021","[]"
"[DataCommonsAggregate]","[]","123","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_BlowingSnow","2021","[]"
"[DataCommonsAggregate]","[]","50","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSAOtherIntersectionType","2021","[]"
"[DataCommonsAggregate]","[]","1063","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_Dawn","2021","[]"
"[DataCommonsAggregate]","[]","841","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_FogOrSmokeOrSmog","2021","[]"
"[DataCommonsAggregate]","[]","3135","[P1D, P1Y, P1M]","Count_MortalityEvent_VehicleCrashIncident","2021","[]"
"[DataCommonsAggregate]","[]","919","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_OnShoulder","2021","[]"
"[DataCommonsAggregate]","[]","3135","[P1D, P1Y, P1M]","Count_Person_InvolvedInCrash_NotMotorVehicleOccupant","2021","[]"
"[DataCommonsAggregate]","[]","9","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_OtherFederalProperty","2021","[]"
"[DataCommonsAggregate]","[]","154","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSALightLevelNotReported","2021","[]"
"[DataCommonsAggregate]","[]","431","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_WorkZone_NHTSAUnknownWorkZone","2021","[]"
"[DataCommonsAggregate]","[]","171","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_WorkZone_Maintenance","2021","[]"
"[DataCommonsAggregate]","[]","2771","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_StateHighway","2021","[]"
"[DataCommonsAggregate]","[]","2934","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NoAdverseWeatherCondition","2021","[]"
"[DataCommonsAggregate]","[]","3107","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NotAnIntersection","2021","[]"
"[DataCommonsAggregate]","[]","3135","[P1D, P1Y, P1M]","Count_Person_InvolvedInCrash_Motorists","2021","[]"
"[DataCommonsAggregate]","[]","87","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_LIntersection","2021","[]"
"[DataCommonsAggregate]","[]","41","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_BlowingSandOrSoilOrDirt","2021","[]"
"[DataCommonsAggregate]","[]","1298","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_LocalStreetMunicipality","2021","[]"
"[DataCommonsAggregate]","[]","2284","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_Cloudy","2021","[]"
"[DataCommonsAggregate]","[]","3135","[P1D, P1Y, P1M]","Count_Vehicle_InvolvedInCrash_Parked","2021","[]"
"[DataCommonsAggregate]","[]","1626","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_DarkButLighted","2021","[]"
"[DataCommonsAggregate]","[]","251","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollisionCrash_NHTSAOtherOrientation","2021","[]"
"[DataCommonsAggregate]","[]","850","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollisionCrash_SideswipeOppositeDirectionCollision","2021","[]"
"[DataCommonsAggregate]","[]","43","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_ReportedAsUnknown","2021","[]"
"[DataCommonsAggregate]","[]","409","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSAUnknownLightLevel","2021","[]"
"[DataCommonsAggregate]","[]","13","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollegeOrUniversityCampus","2021","[]"
"[DataCommonsAggregate]","[]","3125","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NoSpecialJurisdiction","2021","[]"
"[DataCommonsAggregate]","[]","971","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_OutsideRightOfWay","2021","[]"
"[DataCommonsAggregate]","[]","442","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_YIntersection","2021","[]"
"[DataCommonsAggregate]","[]","1244","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_Dusk","2021","[]"
"[DataCommonsAggregate]","[]","2475","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollisionCrash_HeadOnCollision","2021","[]"
"[DataCommonsAggregate]","[]","48","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_MilitaryJurisdiction","2021","[]"
"[DataCommonsAggregate]","[]","354","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSAUnknownLocation","2021","[]"
"[DataCommonsAggregate]","[]","1845","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollisionCrash_RearEndCollision","2021","[]"
"[DataCommonsAggregate]","[]","3135","[P1D, P1Y, P1M]","Count_Person_InvolvedInCrash_MotorVehicleOccupant","2021","[]"
"[DataCommonsAggregate]","[]","45","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_TrafficCircle","2021","[]"
"[DataCommonsAggregate]","[]","141","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_LocalStreetFrontageRoad","2021","[]"
"[DataCommonsAggregate]","[]","3041","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_Daylight","2021","[]"
"[DataCommonsAggregate]","[]","21","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_BureauOfIndianAffairsTrafficway","2023","[]"
"[DataCommonsAggregate]","[]","136","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_Roundabout","2021","[]"
"[DataCommonsAggregate]","[]","55","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_WorkZone_Utility","2021","[]"
"[DataCommonsAggregate]","[]","2510","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollisionCrash_AngleCollision","2021","[]"
"[DataCommonsAggregate]","[]","3065","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollisionCrash_CollisionNotWithMotorVehicleInTransport","2021","[]"
"[DataCommonsAggregate]","[]","358","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSAUnknownWeather","2021","[]"
"[DataCommonsAggregate]","[]","142","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_SleetOrHail","2021","[]"
"[DataCommonsAggregate]","[]","156","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_RoadSeparator","2021","[]"
"[DataCommonsAggregate]","[]","3135","[P1D, P1Y, P1M]","Count_Person_InvolvedInCrash_NonMotorists","2021","[]"
"[DataCommonsAggregate]","[]","3","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CollisionCrash_RearToRearCollision","2021","[]"
"[DataCommonsAggregate]","[]","3058","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NotOnNationalHighway","2021","[]"
"[DataCommonsAggregate]","[]","3011","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_OnRoadway","2021","[]"
"[DataCommonsAggregate]","[]","64","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_NHTSAUnknownJurisdiction","2021","[]"
"[DataCommonsAggregate]","[]","2136","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_CountyRoad","2021","[]"
"[DataCommonsAggregate]","[]","205","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_ParkingLane","2021","[]"
"[DataCommonsAggregate]","[]","2132","[P1D, P1Y, P1M]","Count_VehicleCrashIncident_FourWayIntersection","2021","[]"
