"observationPeriods","StatVar","ScalingFactors","MeasurementMethods","NumPlaces","MinDate","Units"
"[]","Count_Teacher_FullTimeEmployee","[]","[]","96352","2016","[]"
"[]","Count_Faculty_FullTimeEmployee_SchoolPsychologist","[]","[]","96354","2016","[]"
"[]","Count_Faculty_FullTimeEmployee_SchoolCounselor","[]","[]","96352","2016","[]"
"[]","Count_Teacher_CurrentSchoolYear","[]","[]","96351","2016","[]"
"[]","Count_Faculty_FullTimeEmployee_LawEnforcementOfficer","[]","[]","25423","2016","[]"
"[]","Count_Teacher_AbsentMoreThan10Days_FullTimeEmployee","[]","[]","96353","2016","[]"
"[]","Count_Teacher_FullTimeEmployee_FirstYear","[]","[]","96345","2016","[]"
"[]","Count_Teacher_FullTimeEmployee_SecondYear","[]","[]","96345","2016","[]"
"[]","Count_Teacher_Certified_FullTimeEmployee","[]","[]","96351","2016","[]"
"[]","Count_Faculty_FullTimeEmployee_SocialWorker","[]","[]","96353","2016","[]"
"[]","Count_Faculty_FullTimeEmployee_Nurse","[]","[]","96353","2016","[]"
"[]","Count_Teacher_PreviousSchoolYear","[]","[]","96351","2016","[]"
"[]","Count_Faculty_FullTimeEmployee_SecurityGuard","[]","[]","94511","2016","[]"
"[]","Count_Teacher_NotCertified_FullTimeEmployee","[]","[]","96351","2016","[]"
