"NumPlaces","ScalingFactors","Units","StatVar","observationPeriods","MeasurementMethods","MinDate"
"6","[]","[Percent]","Amount_Debt_USD_LenderCountryJOR_AsAFractionOf_Amount_Debt_LenderCountryJOR","[P1Y]","[]","1981"
"8","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryLBN_AsAFractionOf_Amount_Debt_LenderCountryLBN","[P1Y]","[]","1970"
"10","[]","[Percent]","Amount_Debt_USD_LenderCountryGTM_AsAFractionOf_Amount_Debt_LenderCountryGTM","[P1Y]","[]","1970"
"120","[]","[Percent]","Amount_Debt_JPY_LenderInternationalMonetaryFund_AsAFractionOf_Amount_Debt_LenderInternationalMonetaryFund","[P1Y]","[]","1970"
"35","[]","[Percent]","Amount_Debt_JPY_LenderCountryDZA_AsAFractionOf_Amount_Debt_LenderCountryDZA","[P1Y]","[]","1970"
"28","[]","[Percent]","Amount_Debt_FRF_LenderCountryIRQ_AsAFractionOf_Amount_Debt_LenderCountryIRQ","[P1Y]","[]","1970"
"52","[]","[Percent]","Amount_Debt_GBP_LenderCountryROU_AsAFractionOf_Amount_Debt_LenderCountryROU","[P1Y]","[]","1970"
"11","[]","[Percent]","Amount_Debt_GBP_LenderCountryGHA_AsAFractionOf_Amount_Debt_LenderCountryGHA","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_DEM_LenderCountryPRY_AsAFractionOf_Amount_Debt_LenderCountryPRY","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_JPY_LenderCountrySWZ_AsAFractionOf_Amount_Debt_LenderCountrySWZ","[P1Y]","[]","1970"
"28","[]","[Percent]","Amount_Debt_CHF_LenderNordicInvestmentBank_AsAFractionOf_Amount_Debt_LenderNordicInvestmentBank","[P1Y]","[]","1970"
"111","[]","[Percent]","Amount_Debt_DEM_LenderInternationalFundforAgriculturalDev_AsAFractionOf_Amount_Debt_LenderInternationalFundforAgriculturalDev","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_FRF_LenderArabFundforTechAssisttoAfricanCountries_AsAFractionOf_Amount_Debt_LenderArabFundforTechAssisttoAfricanCountries","[P1Y]","[]","1970"
"4","[]","[Percent]","Amount_Debt_EUR_LenderCountryJAM_AsAFractionOf_Amount_Debt_LenderCountryJAM","[P1Y]","[]","2001"
"50","[]","[Percent]","Amount_Debt_EUR_LenderArabBankforEconomicDevinAfrica_AsAFractionOf_Amount_Debt_LenderArabBankforEconomicDevinAfrica","[P1Y]","[]","2001"
"3","[]","[Percent]","Amount_Debt_CHF_LenderInternationalBankforEconomicCooperation_AsAFractionOf_Amount_Debt_LenderInternationalBankforEconomicCooperation","[P1Y]","[]","1970"
"51","[]","[Percent]","Amount_Debt_USD_LenderNordicDevelopmentFund_AsAFractionOf_Amount_Debt_LenderNordicDevelopmentFund","[P1Y]","[]","1970"
"7","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryMUS_AsAFractionOf_Amount_Debt_LenderCountryMUS","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_CHF_LenderCountrySEN_AsAFractionOf_Amount_Debt_LenderCountrySEN","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_DEM_LenderCountryTCD_AsAFractionOf_Amount_Debt_LenderCountryTCD","[P1Y]","[]","1970"
"124","[]","[Percent]","Amount_Debt_JPY_LenderCountryFRA_AsAFractionOf_Amount_Debt_LenderCountryFRA","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_SDR_LenderCountryZMB_AsAFractionOf_Amount_Debt_LenderCountryZMB","[P1Y]","[]","1970"
