"Units","NumPlaces","ScalingFactors","MinDate","observationPeriods","MeasurementMethods","StatVar"
"[USDollar]","131","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt"
"[USDollar]","114","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderMultipleLenders"
"[USDollar]","57","[]","1974","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderAfricanDevBank"
"[USDollar]","9","[]","1977","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryJOR"
"[USDollar]","7","[]","1988","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryBRN"
"[USDollar]","35","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryZAF"
"[USDollar]","44","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderGermanDemRep"
"[USDollar]","8","[]","1971","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderWorldBankMIGA"
"[USDollar]","38","[]","1974","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryHKG"
"[USDollar]","6","[]","1993","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryAZE"
"[USDollar]","24","[]","1973","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderEconomicCommunityofWestAfricanStates"
"[USDollar]","120","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_IDA_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderWorldBankIDA"
"[USDollar]","44","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryZAF"
"[USDollar]","10","[]","1987","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderEuropeanReliefFund"
"[USDollar]","24","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySUN"
"[USDollar]","34","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryZAF"
"[USDollar]","6","[]","1975","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderUNChildrenFund"
"[USDollar]","17","[]","1980","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderCentralBankofWestAfricanStates"
"[USDollar]","18","[]","1977","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountrySAU"
"[USDollar]","83","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryJPN"
"[USDollar]","11","[]","2010","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderEurasianDevelopmentBank"
"[USDollar]","9","[]","1977","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryJOR"
"[USDollar]","116","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryJPN"
"[USDollar]","17","[]","1979","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryOMN"
"[USDollar]","12","[]","1975","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryKEN"
"[USDollar]","7","[]","1978","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBRB"
"[USDollar]","53","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBRA"
"[USDollar]","10","[]","1987","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderEuropeanReliefFund"
"[USDollar]","5","[]","1999","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBRN"
"[USDollar]","7","[]","2014","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderIslamicSolidarityFundforDev"
"[USDollar]","10","[]","1993","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryUZB"
"[USDollar]","35","[]","1979","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderNordicInvestmentBank"
"[USDollar]","96","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountrySAU"
"[USDollar]","93","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryGBR"
"[USDollar]","8","[]","1996","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySVK"
"[USDollar]","17","[]","1977","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderWestAfricanDevelopmentBank"
"[USDollar]","29","[]","1974","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryHKG"
"[USDollar]","39","[]","2016","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderAsianInfrastructureInvestmentBank"
