"Units","ScalingFactors","MinDate","observationPeriods","NumPlaces","StatVar","MeasurementMethods"
"[USDollar]","[]","1988","[P1Y]","12","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryCIV","[, WorldBankProjection]"
"[USDollar]","[]","2012","[P1Y]","11","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderWorldTradeOrganization","[, WorldBankProjection]"
"[USDollar]","[]","1988","[P1Y]","7","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryZWE","[]"
"[USDollar]","[]","1978","[P1Y]","11","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryBRB","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","99","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBEL","[, WorldBankProjection]"
"[USDollar]","[]","1972","[P1Y]","40","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryBRA","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","15","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCouncilofEurope","[, WorldBankProjection]"
"[USDollar]","[]","1995","[P1Y]","7","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryBRN","[]"
"[USDollar]","[]","1970","[P1Y]","11","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryZWE","[]"
"[USDollar]","[]","2023","[P1Y]","8","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryCIV","[, WorldBankProjection]"
"[USDollar]","[]","1978","[P1Y]","6","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryGAB","[]"
"[USDollar]","[]","1984","[P1Y]","16","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCentralBankofWestAfricanStates","[, WorldBankProjection]"
"[USDollar]","[]","2013","[P1Y]","6","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryGRD","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","35","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryZAF","[, WorldBankProjection]"
"[USDollar]","[]","1981","[P1Y]","7","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBFA","[]"
"[USDollar]","[]","1984","[P1Y]","8","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryMLT","[]"
"[USDollar]","[]","1982","[P1Y]","24","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryGRC","[, WorldBankProjection]"
"[USDollar]","[]","2000","[P1Y]","7","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryUKR","[]"
"[USDollar]","[]","1974","[P1Y]","33","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySGP","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","14","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryIDN","[, WorldBankProjection]"
"[USDollar]","[]","1981","[P1Y]","8","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderUNRegularProgrammeofTechnicalCoop","[]"
"[USDollar]","[]","1985","[P1Y]","11","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderOrgofArabPetroleumExportingCountries","[]"
"[USDollar]","[]","1997","[P1Y]","18","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderEasternSouthernAfricanTradeDevBank","[, WorldBankProjection]"
"[USDollar]","[]","1999","[P1Y]","43","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryCHN","[, WorldBankProjection]"
